id,Year,Month number,Offence category,Offence type,Reporting region ,Statistical Area 2,Number of offences
1,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,Palmerston,-,2
2,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,2
3,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,4
4,2008,1,Acts intended to cause injury,Assault,Darwin,-,12
5,2008,1,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
6,2008,1,Acts intended to cause injury,Assault,Palmerston,-,6
7,2008,1,Acts intended to cause injury,Assault,Darwin,-,35
8,2008,1,Acts intended to cause injury,Assault,Palmerston,-,5
9,2008,1,Acts intended to cause injury,Assault,Darwin,-,9
10,2008,1,Acts intended to cause injury,Assault,Palmerston,-,3
11,2008,1,Acts intended to cause injury,Assault,Darwin,-,28
12,2008,1,Acts intended to cause injury,Assault,Palmerston,-,4
13,2008,1,Acts intended to cause injury,Assault,Darwin,-,4
14,2008,1,Acts intended to cause injury,Assault,Darwin,-,5
15,2008,1,Acts intended to cause injury,Assault,Palmerston,-,2
16,2008,1,Acts intended to cause injury,Other acts intended to cause injury,Darwin,-,2
17,2008,1,Acts intended to cause injury,Other acts intended to cause injury,NT Balance,Humpty Doo,1
18,2008,1,Commercial break-ins,Commercial break-ins actual,Darwin,-,67
19,2008,1,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,1
20,2008,1,Commercial break-ins,Commercial break-ins actual,Palmerston,-,12
21,2008,1,Commercial break-ins,Commercial break-ins attempted,Darwin,-,11
22,2008,1,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,2
23,2008,1,House break-ins,House break-ins actual,Darwin,-,62
24,2008,1,House break-ins,House break-ins actual,NT Balance,Howard Springs,3
25,2008,1,House break-ins,House break-ins actual,NT Balance,Humpty Doo,2
26,2008,1,House break-ins,House break-ins actual,Palmerston,-,18
27,2008,1,House break-ins,House break-ins attempted,Darwin,-,9
28,2008,1,House break-ins,House break-ins attempted,Palmerston,-,4
