S.N.,jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus,TotalComp
1,Graphic Designer,Female,18,5,College,Operations,2,42363,9938,52301
2,Software Engineer,Male,21,5,College,Management,5,108476,11128,119604
3,Warehouse Associate,Female,19,4,PhD,Administration,5,90208,9268,99476
4,Software Engineer,Male,20,5,Masters,Sales,4,108080,10154,118234
5,Graphic Designer,Male,26,5,Masters,Engineering,5,99464,9319,108783
6,IT,Female,20,5,PhD,Operations,4,70890,10126,81016
7,Graphic Designer,Female,20,5,College,Sales,4,67585,10541,78126
8,Software Engineer,Male,18,4,PhD,Engineering,5,97523,10240,107763
9,Graphic Designer,Female,33,5,High School,Engineering,5,112976,9836,122812
10,Sales Associate,Female,35,5,College,Engineering,5,106524,9941,116465
11,Graphic Designer,Male,24,5,PhD,Engineering,5,102261,10212,112473
12,Driver,Female,18,5,College,Management,3,62759,10124,72883
13,Financial Analyst,Female,19,5,College,Sales,3,84007,8990,92997
14,Warehouse Associate,Female,30,5,Masters,Administration,5,86220,9583,95803
15,Warehouse Associate,Female,35,5,PhD,Operations,4,95584,9745,105329
16,Marketing Associate,Female,27,5,PhD,Management,3,73357,10334,83691
17,Financial Analyst,Female,23,5,PhD,Administration,5,88422,10768,99190
18,Warehouse Associate,Female,24,5,College,Administration,5,99545,9949,109494
19,Sales Associate,Male,21,5,High School,Engineering,5,90386,9461,99847
20,Data Scientist,Female,30,5,College,Engineering,5,92067,9838,101905
21,Warehouse Associate,Male,36,5,PhD,Engineering,5,108446,9210,117656
22,Financial Analyst,Male,24,5,PhD,Sales,3,83323,9329,92652
23,Warehouse Associate,Male,24,5,PhD,Sales,3,85205,9792,94997
24,Driver,Female,35,5,College,Management,1,72038,9031,81069
25,Software Engineer,Male,21,4,PhD,Engineering,5,132823,9625,142448
26,Graphic Designer,Female,26,5,College,Engineering,2,71182,10015,81197
27,Software Engineer,Male,19,5,Masters,Administration,4,100305,9618,109923
28,Graphic Designer,Male,35,5,PhD,Management,3,88566,9469,98035
29,Warehouse Associate,Male,34,5,PhD,Engineering,4,104271,10177,114448
30,IT,Female,38,5,College,Administration,5,112392,10504,122896
31,Software Engineer,Male,20,5,Masters,Management,2,66359,10137,76496
32,Sales Associate,Male,35,5,Masters,Management,5,103007,10512,113519
33,Marketing Associate,Female,26,5,PhD,Operations,4,80306,9233,89539
34,Data Scientist,Female,22,5,High School,Engineering,3,74523,9972,84495
35,Data Scientist,Female,45,5,PhD,Management,5,113252,10139,123391
36,Software Engineer,Male,27,5,PhD,Management,4,96040,10050,106090
37,Software Engineer,Male,21,5,High School,Management,4,91674,9780,101454
38,Software Engineer,Male,31,5,High School,Operations,3,92928,9094,102022
39,IT,Female,33,5,College,Management,4,84638,9409,94047
40,IT,Male,19,5,College,Administration,4,78986,9023,88009
41,Data Scientist,Male,29,5,PhD,Administration,5,96355,9784,106139
42,Data Scientist,Male,32,5,PhD,Management,3,87121,8703,95824
43,Software Engineer,Male,31,5,PhD,Sales,2,88724,8949,97673
44,Warehouse Associate,Male,22,5,Masters,Engineering,2,58219,9868,68087
45,Software Engineer,Male,25,5,Masters,Sales,5,119024,11293,130317
46,Software Engineer,Male,22,5,Masters,Management,3,81503,9729,91232
47,Data Scientist,Female,21,5,PhD,Operations,3,70643,10033,80676
48,Graphic Designer,Female,26,5,PhD,Sales,3,74167,10346,84513
49,Marketing Associate,Male,21,5,College,Management,5,86886,9424,96310
50,IT,Female,22,5,High School,Sales,4,102120,10215,112335
51,Sales Associate,Male,18,4,Masters,Operations,5,90780,9353,100133
52,Software Engineer,Male,18,4,Masters,Operations,4,89474,9104,98578
53,Marketing Associate,Female,35,5,PhD,Engineering,5,97376,9564,106940
54,Data Scientist,Female,33,5,Masters,Sales,2,89415,9654,99069
55,Software Engineer,Female,22,4,Masters,Operations,3,88037,8949,96986
56,Data Scientist,Female,24,4,College,Administration,4,71105,8623,79728
57,Driver,Female,31,5,High School,Engineering,2,62692,8886,71578
58,Software Engineer,Male,40,5,PhD,Management,4,112466,9493,121959
59,Data Scientist,Female,49,5,College,Operations,3,71193,8331,79524
60,Marketing Associate,Female,20,5,Masters,Administration,4,76286,9479,85765
61,Financial Analyst,Male,18,5,PhD,Engineering,4,97328,9874,107202
62,Graphic Designer,Male,34,5,Masters,Management,3,86766,9841,96607
63,Warehouse Associate,Female,41,5,College,Operations,2,82453,9564,92017
64,Software Engineer,Male,19,5,PhD,Administration,3,88814,10153,98967
65,Driver,Male,31,5,College,Management,4,82832,9958,92790
66,Sales Associate,Female,33,5,High School,Engineering,3,83034,8841,91875
67,Warehouse Associate,Female,53,5,College,Engineering,5,127085,9687,136772
68,Sales Associate,Male,24,5,High School,Administration,1,66168,9242,75410
69,Data Scientist,Male,18,5,PhD,Administration,4,59212,10209,69421
70,Data Scientist,Male,18,5,High School,Operations,2,55189,9405,64594
71,Manager,Male,25,5,College,Engineering,5,131311,11067,142378
72,Sales Associate,Female,31,5,College,Management,1,52633,9516,62149
73,Warehouse Associate,Female,31,4,PhD,Operations,5,101154,10324,111478
74,Financial Analyst,Female,42,5,College,Engineering,5,113640,8762,122402
75,Data Scientist,Male,22,4,High School,Management,2,50401,8590,58991
76,Marketing Associate,Female,23,5,PhD,Administration,3,46263,9432,55695
77,Warehouse Associate,Female,36,4,College,Management,3,74938,8234,83172
78,Marketing Associate,Female,39,5,College,Sales,5,103384,9168,112552
79,Warehouse Associate,Female,39,5,College,Engineering,2,77584,9798,87382
80,Graphic Designer,Male,23,5,Masters,Management,3,83031,10240,93271
81,Financial Analyst,Male,29,5,Masters,Engineering,5,111019,10042,121061
82,Warehouse Associate,Female,25,3,Masters,Engineering,4,80192,8747,88939
83,Warehouse Associate,Male,21,5,PhD,Management,1,48755,9931,58686
84,Warehouse Associate,Male,28,5,High School,Engineering,2,59044,9368,68412
85,Manager,Male,29,4,PhD,Engineering,5,146615,10173,156788
86,Data Scientist,Female,32,5,PhD,Engineering,1,46693,8457,55150
87,IT,Female,48,5,PhD,Operations,3,88152,8857,97009
88,Data Scientist,Female,38,5,Masters,Administration,5,127156,9979,137135
89,Graphic Designer,Male,31,5,PhD,Engineering,1,69462,8872,78334
90,Manager,Male,19,4,PhD,Sales,5,119162,9395,128557
91,Software Engineer,Male,26,5,PhD,Operations,2,68466,8384,76850
92,Financial Analyst,Female,36,5,Masters,Administration,3,92622,8509,101131
93,Marketing Associate,Female,34,5,Masters,Engineering,1,51331,9130,60461
94,Warehouse Associate,Male,49,5,High School,Sales,4,109419,8375,117794
95,Software Engineer,Male,18,5,College,Operations,3,80355,9945,90300
96,Driver,Female,21,4,Masters,Sales,4,77032,8725,85757
97,Financial Analyst,Female,47,5,High School,Sales,5,146190,8961,155151
98,Graphic Designer,Female,22,4,Masters,Administration,4,96045,9129,105174
99,Software Engineer,Male,29,5,High School,Management,1,82534,8914,91448
100,IT,Male,55,5,College,Management,5,127769,8802,136571
101,Marketing Associate,Female,34,5,High School,Sales,5,96061,9093,105154
102,Warehouse Associate,Female,48,5,College,Management,5,111342,10122,121464
103,Financial Analyst,Female,43,5,PhD,Management,3,117554,8369,125923
104,Financial Analyst,Female,30,5,High School,Engineering,5,109369,10052,119421
105,Warehouse Associate,Female,25,4,Masters,Operations,4,92358,9611,101969
106,Financial Analyst,Female,21,4,Masters,Operations,4,91978,8647,100625
107,Sales Associate,Male,28,5,PhD,Administration,1,52290,9330,61620
108,IT,Male,18,5,High School,Engineering,1,47036,9130,56166
109,Warehouse Associate,Male,46,5,PhD,Sales,1,76517,8502,85019
110,Marketing Associate,Female,29,4,Masters,Administration,5,89822,8818,98640
111,Driver,Male,32,4,PhD,Engineering,4,90368,8215,98583
112,Financial Analyst,Male,26,5,College,Engineering,4,106194,9421,115615
113,Warehouse Associate,Female,51,5,High School,Management,3,87684,8645,96329
114,Marketing Associate,Female,40,5,Masters,Administration,3,62040,8056,70096
115,Sales Associate,Female,52,5,Masters,Engineering,2,84132,7204,91336
116,Financial Analyst,Female,29,4,Masters,Administration,4,88047,8459,96506
117,Driver,Female,37,5,Masters,Administration,2,65012,8357,73369
